"scenario_id","study","rep","generator","n","nu","ok","convergence","strict_success","logLik","grad_norm","alpha_grad_norm","hat_mu1","hat_mu2","hat_sigma1","hat_sigma2","hat_rho","hat_delta1","hat_delta2","hat_alpha1","hat_alpha2","hat_lambda1","hat_lambda2","hat_alpha_norm","hat_alpha_angle","true_mu1","true_mu2","true_sigma1","true_sigma2","true_rho","true_delta1","true_delta2","true_alpha1","true_alpha2","true_lambda1","true_lambda2","true_alpha_norm","true_alpha_angle","cover_obs_rho","cover_sand_rho","cover_obs_delta1","cover_sand_delta1","cover_obs_delta2","cover_sand_delta2","cover_obs_alpha1","cover_sand_alpha1","cover_obs_alpha2","cover_sand_alpha2","source_file"
"baseline_gaussian_n300","baseline_accuracy",619,"gaussian",300,6,TRUE,0,FALSE,-606.950217035643,0.0272999813941281,0.00954534961704017,0.311257238211065,-0.207003607243625,1.08962427580378,0.863796079875031,0.318551956635708,0.632782136671145,0.372883373252421,1.39353949254754,-0.787747315193284,1.52187221850479,-0.962078932658276,1.60078048147892,-29.4788354033187,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0106.csv"
"baseline_gaussian_n300","baseline_accuracy",747,"gaussian",300,6,TRUE,0,FALSE,-624.350397645669,0.560753074351843,0.0181584788984549,0.357198403490793,-0.233376912708047,1.04163638902998,0.894768594633668,0.409715803390837,0.711253220874668,0.3350223889719,0.814289550061938,-0.652658066613854,1.06316131357776,-0.799610733809814,1.0435660128886,-38.7123884732097,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0106.csv"
"baseline_gaussian_n300","baseline_accuracy",875,"gaussian",300,6,TRUE,0,FALSE,-634.342662764413,0.103763985570421,0.0300061104186896,0.3828947376661,-0.232832981001214,1.01651830792444,0.869721908748305,0.317583302486127,0.617654643283935,0.443326920708378,0.699917940099527,-0.620987897600217,0.893147225795461,-0.752989399724263,0.935687496891512,-41.580386597435,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0106.csv"
"robust_rmse_gaussian","robust_rmse",107,"gaussian",300,6,TRUE,0,FALSE,-603.522138128162,0.123820707595576,0.00352184182174619,0.269298548575613,-0.104770459190282,1.17739736939925,0.937707773974036,0.18465772828701,0.797347516303473,0.437193285952911,1.7825692720522,-1.06976727935227,1.68470449551568,-1.16079457064335,2.07893127390913,-30.9690908098144,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0106.csv"
"robust_rmse_t6","robust_rmse",107,"t",300,6,TRUE,0,FALSE,-704.420005905522,0.0587053375054111,0.007732152798601,0.270898750692404,-0.255993025210719,1.23222438086517,0.896722167932305,0.303358261698211,0.77693542748782,0.376625041209755,1.30011592205415,-0.809408538247402,1.26421750170182,-0.947268782209486,1.53148411436962,-31.9050072092797,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0106.csv"
"coverage_gaussian_n150","coverage",107,"gaussian",150,6,TRUE,0,FALSE,-295.585133544733,0.0373922359941045,0.00992915864373466,0.315977406363439,-0.145277622533009,1.1517105989085,0.908098906699478,0.393684918958288,0.859921441758395,0.362849689562823,1.07682106643105,-0.896988316325551,1.2685252137332,-1.07453891360847,1.40147481202276,-39.7941838549111,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"chunk_0106.csv"
"coverage_gaussian_n300","coverage",107,"gaussian",300,6,TRUE,0,TRUE,-594.623576972773,0.0298708688862285,0.00435514502547128,0.298159727381551,-0.194945114813499,1.04107411008017,0.892727755253745,0.322281125860573,0.770477342679363,0.495532891926187,0.952617875048697,-0.876611649690627,1.20169808838038,-1.03729315187641,1.29457668766111,-42.6206745612821,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"chunk_0106.csv"
"coverage_t6_n300","coverage",107,"t",300,6,TRUE,0,FALSE,-682.458027723455,0.740493951673709,0.0482758346249079,0.468406195738263,-0.327178832709473,0.904804830727531,0.8337685693554,0.414395368829402,0.666942382579825,0.379945509462704,0.727686676014041,-0.37716170400814,0.994048733228728,-0.4970435078301,0.819621162134487,-27.3978127929531,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"chunk_0106.csv"
"sample_size_gaussian_n150","sample_size",107,"gaussian",150,6,TRUE,0,FALSE,-318.422870879447,0.0449081088469685,0.00951921662434039,0.426936081835026,-0.443262991193958,0.934385456800033,0.907439356002393,0.582455731762037,0.416873119690261,0.382026299072527,0.544061315596843,0.0931963221535581,0.510797319874659,0.126346761616403,0.551985751258053,9.72028079510358,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0106.csv"
"sample_size_gaussian_n300","sample_size",107,"gaussian",300,6,TRUE,0,FALSE,-581.144841685445,0.498167246866499,0.0157111919197778,0.35588249495494,-0.249890035790127,0.974905189689424,0.800589633984871,0.388111803619785,0.717329310846334,0.380497684676129,1.00921952418143,-0.39246354857878,1.20472721052256,-0.531913609644445,1.08284425701578,-21.249977308039,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0106.csv"
"sample_size_gaussian_n1000","sample_size",107,"gaussian",1000,6,TRUE,0,FALSE,-2051.28846924935,0.226379535517991,0.0600396577078719,0.29091067408582,-0.207665457882277,1.07719125842266,0.88084486708454,0.366092076044997,0.653299725828692,0.369679702651214,1.10808538685838,-0.787764931716774,1.31638106701204,-0.961045920293574,1.35956861254289,-35.4099494668581,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0106.csv"
"baseline_gaussian_n300","baseline_accuracy",108,"gaussian",300,6,TRUE,0,TRUE,-632.900171716159,0.00891872861132674,0.00341503016648591,0.269274583848731,-0.256912250903202,1.20470266638796,0.941756343003634,0.41310604550131,0.74118643645878,0.356733999918869,1.11342585787387,-0.715653160316368,1.19370704496002,-0.834443323798722,1.32358474864777,-32.7308346395299,0.3,-0.2,1.1,0.9,0.35,0.7,0.4,1.2,-0.8,1.36264171554803,-0.94890757810422,1.4422205101856,-33.6900675259798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chunk_0107.csv"
